knn,lgr
38,38
42,39
3,2
7,3
1,1
2,3
17,17
4,1
28,11
7,2
1,1
1,1
7,9
8,5
21,11
1,2
40,1
7,25
4,38
13,13
7,1
3,1
25,25
21,25
2,2
2,2
10,9
11,11
0,1
4,9
3,2
5,2
28,25
38,25
38,38
11,11
28,11
8,9
12,12
15,2
1,1
9,9
7,2
39,32
5,3
8,3
24,25
37,1
5,1
10,1
26,25
28,25
12,12
25,25
25,25
9,17
5,3
38,38
38,38
34,38
8,2
35,39
1,1
9,17
8,3
1,41
37,38
1,1
11,25
3,3
13,13
27,11
10,5
18,11
7,2
23,23
11,11
42,12
26,25
31,11
21,11
6,3
31,11
28,25
3,2
10,9
1,32
1,3
26,25
8,9
4,2
4,3
8,3
38,38
4,9
1,16
10,42
22,25
12,12
17,17
13,13
8,3
1,1
11,25
12,12
1,1
7,9
34,38
13,13
23,25
25,25
25,25
5,5
3,2
11,11
4,3
11,11
2,1
13,13
38,38
25,25
3,1
10,9
7,2
2,12
9,17
5,2
34,15
1,1
36,12
1,2
12,12
11,11
3,2
25,11
25,11
25,25
38,38
4,2
9,9
20,11
38,38
11,25
13,13
9,2
38,38
2,2
23,25
13,13
5,2
1,41
18,25
20,25
7,5
10,38
4,1
4,3
2,2
2,2
17,17
42,42
25,25
11,11
8,38
18,25
5,42
2,32
1,1
12,12
17,17
25,25
8,3
2,2
12,12
2,2
26,11
5,2
7,12
12,12
13,13
2,2
11,25
24,25
17,9
12,12
2,2
5,2
9,9
8,3
25,25
1,3
3,3
1,1
3,1
1,1
8,4
4,2
12,12
12,12
25,25
10,2
1,3
14,32
2,12
5,2
20,11
10,9
25,25
37,6
12,12
